태풍번호,태풍명,영문명,진행여부,영향도,발생,소멸,비고
2,니다,NIDA,종료,없음,2004.05.14 15:00,2004.05.21 15:00,null
3,오마이스,OMAIS,종료,없음,2004.05.18 09:00,2004.05.21 15:00,null
4,콘손,CONSON,종료,없음,2004.06.07 09:00,2004.06.11 18:00,null
5,찬투,CHANTHU,종료,없음,2004.06.11 03:00,2004.06.13 15:00,null
6,디앤무,DIANMU,종료,없음,2004.06.13 21:00,2004.06.22 03:00,null
7,민들레,MINDULLE,종료,직접영향,2004.06.23 15:00,2004.07.04 09:00,null
8,팅팅,TINGTING,종료,없음,2004.06.26 09:00,2004.07.04 15:00,null
9,곤파스,KOMPASU,종료,없음,2004.07.14 09:00,2004.07.16 21:00,null
10,남테우른,NAMTHEUN,종료,직접영향,2004.07.25 21:00,2004.08.01 21:00,null
11,말로우,MALOU,종료,없음,2004.08.04 12:00,2004.08.05 06:00,null
12,머란티,MERANTI,종료,없음,2004.08.04 21:00,2004.08.09 15:00,null
13,라나님,RANANIM,종료,없음,2004.08.08 21:00,2004.08.13 15:00,null
14,말라카스,MALAKAS,종료,없음,2004.08.11 03:00,2004.08.13 15:00,null
15,메기,MEGI,종료,직접영향,2004.08.16 15:00,2004.08.20 18:00,null
16,차바,CHABA,종료,직접영향,2004.08.19 21:00,2004.08.31 21:00,null
17,에어리,AERE,종료,없음,2004.08.20 09:00,2004.08.26 15:00,null
18,송다,SONGDA,종료,직접영향,2004.08.28 09:00,2004.09.08 15:00,null
19,사리카,SARIKA,종료,없음,2004.09.05 06:00,2004.09.08 09:00,null
20,하이마,HAIMA,종료,없음,2004.09.11 21:00,2004.09.13 15:00,null
21,메아리,MEARI,종료,없음,2004.09.21 03:00,2004.09.30 12:00,null
22,망온,MA-ON,종료,없음,2004.10.04 12:00,2004.10.10 09:00,null
23,도카게,TOKAGE,종료,없음,2004.10.13 09:00,2004.10.21 09:00,null
24,녹텐,NOCK-TEN,종료,없음,2004.10.16 21:00,2004.10.26 12:00,null
25,무이파,MUIFA,종료,없음,2004.11.15 03:00,2004.11.25 21:00,null
26,므르복,MERBOK,종료,없음,2004.11.22 21:00,2004.11.23 15:00,null
27,난마돌,NANMADOL,종료,없음,2004.11.29 09:00,2004.12.04 15:00,null
28,탈라스,TALAS,종료,없음,2004.12.11 15:00,2004.12.19 15:00,null
29,노루,NORU,종료,없음,2004.12.19 03:00,2004.12.22 09:00,null
1,꿀랍,KULAP,종료,없음,2005.01.15 21:00,2005.01.19 15:00,제1호 태풍 [꿀랍(KULAP)]은 태국에서 제출한 이름으로 장미를 의미함.
2,로키,ROKE,종료,없음,2005.03.15 09:00,2005.03.18 09:00,제2호 태풍 [로키(ROKE)]은 미국에서 제출한 이름으로 남자 이름임.
3,선까,SONCA,종료,없음,2005.04.23 09:00,2005.04.27 21:00,제3호 태풍 [선까(SONCA)]은 베트남에서 제출한 이름으로 새의 한 종류임.
4,네삿,NESAT,종료,없음,2005.06.01 09:00,2005.06.11 15:00,제4호 태풍 [네삿(NESAT)]은 캄보디아에서 제출한 이름으로 낚시를 의미함.
5,하이탕,HAITANG,종료,없음,2005.07.12 09:00,2005.07.20 15:00,제5호 태풍 [하이탕(HAITANG)]은 중국에서 제출한 이름으로 야생능금을 의미함.
6,날개,NALGAE,종료,없음,2005.07.20 21:00,2005.07.24 21:00,제6호 태풍 [날개(NALGAE)]은 북한에서 제출한 이름임.
7,바냔,BANYAN,종료,없음,2005.07.22 03:00,2005.07.28 09:00,제7호 태풍 [바냔(BANYAN)]은 홍콩에서 제출한 이름으로 나무의 한 종류임.
8,와시,WASHI,종료,없음,2005.07.29 21:00,2005.08.01 03:00,제8호 태풍 [와시(WASHI)]은 일본에서 제출한 이름으로 독수리를 의미함.
9,맛사,MATSA,종료,없음,2005.07.31 21:00,2005.08.07 21:00,제9호 태풍 [맛사(MATSA)]은 라오스에서 제출한 이름으로 물고기 암컷을 의미함.
10,상우,SANVU,종료,없음,2005.08.11 15:00,2005.08.14 09:00,제10호 태풍 [상우(SANVU)]은 마카오에서 제출한 이름으로 산호를 의미함.
11,마와르,MAWAR,종료,없음,2005.08.20 03:00,2005.08.28 09:00,제11호 태풍 [마와르(MAWAR)]은 말레이시아에서 제출한 이름으로 장미를 의미함.
12,구촐,GUCHOL,종료,없음,2005.08.21 15:00,2005.08.25 21:00,제12호 태풍 [구촐(GUCHOL)]은 미크로네시아에서 제출한 이름으로 향신료를 의미함.
