구분/지역명 ◁ ▷,,,,총계,,2002년,,2003년,,2004년,,2005년,,2006년,,2007년,,2008년,,2010년,,2011년,,2012년,,2013년,,2014년,,2015년,,2016년,,2017년,,2018년,,2019년,,2020년,,2021년,
공공시설,도로,도로,개소/m,"5,101","1,441,866.40","1,900","738,427","2,036","533,278",463,"60,834",149,"17,433.40",2,90,196,"45,965",0,0,47,"14,414",308,"31,425",769,"91,320",0,0,23,797,20,"2,683",254,"22,974",0,0,77,"4,501",464,"17,199.50",384,"16,665",39,576.4
,,교량,개소/m,235,"53,537",96,"45,185",88,"4,879",14,531,7,219,0,0,10,"1,643",0,0,0,0,20,"1,080",22,"1,041.80",0,0,0,0,1,20,12,323,0,0,2,85,8,164,13,250.5,3,172
,,피해액,천원,"1,156,311,124",,"735,851,370",,"348,600,395",,"25,052,402",,"16,405,440",,"178,974",,"11,687,712",,0,,"2,152,243",,"16,382,588",,"52,749,352",,0,,"741,810",,"2,339,463",,"11,272,364",,0,,"6,799,766",,"30,563,292",,"26,440,889",,"936,290",
,하천,하천,개소/m,"6,851","3,633,186.60","2,739","1,946,453","2,633","1,265,464",664,"175,506",192,"48,277",0,0,256,"58,906",0,0,11,"6,693",356,"131,887.60",720,"164,097.50",1,70,19,702,2,110,283,"133,204",0,0,92,"9,472",305,"46,560",270,"29,344.50",111,"12,317"
,,피해액,천원,"1,711,162,233",,"1,030,142,427",,"536,460,714",,"55,515,347",,"13,891,038",,0,,"22,953,672",,0,,"608,353",,"51,590,682",,"72,867,296",,"19,516",,"994,427",,"36,133",,"45,627,696",,0,,"4,296,383",,"26,919,986",,"18,845,609",,"7,358,545",
,소하천,소하천,개소/m,"10,365","3,712,535.80","3,409","1,763,448","3,802","1,358,591","1,671","337,061",435,"79,981",4,92,441,"79,479.50",7,"1,020",31,"3,500",565,"89,363.30","1,338","194,137.50",0,0,41,"1,037",5,"4,052",354,"54,683",0,0,161,"9,087",527,"42,792.50",350,"15,517",166,"3,286.50"
,,피해액,천원,"895,171,844",,"452,660,182",,"324,666,702",,"63,422,975",,"15,356,769",,"32,345",,"17,465,408",,"194,120",,"711,553",,"20,661,790",,"60,232,730",,0,,"886,847",,"199,380",,"16,448,547",,0,,"2,725,279",,"17,559,276",,"10,405,830",,"3,117,836",
,수도,상하수도,개소,"2,023",,929,,791,,87,,35,,0,,65,,0,,13,,103,,202,,0,,0,,1,,82,,0,,11,,79,,53,,1,
,,피해액,천원,"180,849,858",,"96,754,446",,"67,208,437",,"5,406,050",,"3,232,542",,0,,"4,500,294",,0,,"537,088",,"3,211,001",,"9,200,902",,0,,0,,"58,048",,"6,235,663",,0,,"1,074,849",,"3,315,170",,"3,568,369",,"64,600",
,항만,항만시설,개소,221,,72,,113,,2,,14,,2,,3,,0,,6,,9,,81,,0,,1,,1,,26,,0,,8,,4,,20,,0,
